matchnumber,roundnumber,date,location,group,homeaway,team,goals,penalties,ycards,rcards,fouls
57,Quarter Finals,09/12/2022 19:00,TBA,NA,awayteam,To be announced,NA,NA,NA,NA,NA
58,Quarter Finals,09/12/2022 15:00,TBA,NA,hometeam,To be announced,NA,NA,NA,NA,NA
58,Quarter Finals,09/12/2022 15:00,TBA,NA,awayteam,To be announced,NA,NA,NA,NA,NA
59,Quarter Finals,10/12/2022 19:00,TBA,NA,hometeam,To be announced,NA,NA,NA,NA,NA
59,Quarter Finals,10/12/2022 19:00,TBA,NA,awayteam,To be announced,NA,NA,NA,NA,NA
60,Quarter Finals,10/12/2022 15:00,TBA,NA,hometeam,To be announced,NA,NA,NA,NA,NA
60,Quarter Finals,10/12/2022 15:00,TBA,NA,awayteam,To be announced,NA,NA,NA,NA,NA
61,Semi Finals,13/12/2022 19:00,TBA,NA,hometeam,To be announced,NA,NA,NA,NA,NA
61,Semi Finals,13/12/2022 19:00,TBA,NA,awayteam,To be announced,NA,NA,NA,NA,NA
62,Semi Finals,14/12/2022 19:00,TBA,NA,hometeam,To be announced,NA,NA,NA,NA,NA
62,Semi Finals,14/12/2022 19:00,TBA,NA,awayteam,To be announced,NA,NA,NA,NA,NA
63,Finals,17/12/2022 15:00,TBA,NA,hometeam,To be announced,NA,NA,NA,NA,NA
63,Finals,17/12/2022 15:00,TBA,NA,awayteam,To be announced,NA,NA,NA,NA,NA
64,Finals,18/12/2022 15:00,TBA,NA,hometeam,To be announced,NA,NA,NA,NA,NA
64,Finals,18/12/2022 15:00,TBA,NA,awayteam,To be announced,NA,NA,NA,NA,NA
